question,output
What was the first commercially licensed radio station in the world that began airing in Pittsburgh?,kdka 1020 am
What year did KDKA begin airing as the world's first commercially licensed radio station?,1920
What was the first community-sponsored television station in the United States established in Pittsburgh?,wqed 13
What famous children's television show was produced by WQED?,mister rogers ’ neighborhood
"What 2011 Batman film used Pittsburgh as ""Gotham City"" during filming?",the dark knight rises
Which famous virologist developed one of the first successful polio vaccines while at the University of Pittsburgh?,jonas salk
"How many bridges does Pittsburgh have, giving it the nickname ""City of Bridges""?",446
What bridge was the world's first lenticular truss bridge in Pittsburgh?,smithfield street bridge
"What is the name of Pittsburgh's light rail system that locals refer to as the ""T""?",mount washington
What is the ranking of the Port of Pittsburgh among U.S. ports?,ninth - largest
What was the major industry that collapsed in Pittsburgh after 1970 due to foreign competition?,steel
What was the name of the clean air and civic revitalization project launched after World War II?,"the "" renaissance"
What archaeological site west of Pittsburgh provides evidence of early human habitation in the region?,meadowcroft rockshelter and historic village
What Native American chief had a village called Sawcunk at the mouth of the Beaver River?,shingas
Which of Pittsburgh's three rivers was formed by the meeting of the other two?,
Who was the Marquis that sent a French expedition to the area in 1753?,marquis duquesne
What did George Washington come to do in the Ohio Valley in 1753?,warn the french to withdraw
What was the name of the first European habitation at the site of present-day Pittsburgh?,
Who ordered the construction of Fort Prince George in 1754?,the british
"What battle did Washington fight on May 28, 1754?",battle of jumonville glen
What Native American chief executed the French commanding officer after Washington's battle?,seneca chief tanaghrisson
What was the name of the road built by Braddock's expedition across the Allegheny Mountains?,us40
What was the outcome of the Battle of the Monongahela in 1755?,
Who ordered the construction of Fort Pitt after Fort Duquesne was abandoned?,forbes
What Native American uprising occurred in 1763 that targeted Fort Pitt?,pontiac ' s war
Who signed the Fort Stanwix Treaty of 1768?,the iroquois
What was one of Pittsburgh's earliest industries after the Revolution?,boat building
When was the Pittsburgh Academy chartered?,"february 28, 1787"
What event in 1794 was sparked by federal taxes on whiskey?,whiskey rebellion
What was the first steamboat in Pittsburgh built in?,
What war stimulated American manufacturing by cutting off British goods?,the war of 1812
When was Pittsburgh incorporated as a city?,"april 22, 1794"
What was the first river bridge in the region called?,smithfield street bridge
"What disaster struck Pittsburgh on April 10, 1845?",a great fire
What process for steel production was introduced at the Edgar Thomson Works in 1875?,bessemer
Who founded the Westinghouse Air Brake Company in 1869?,george westinghouse
What industry developed rapidly after 1830 and became dominant by the 1860s?,iron and steel
What ethnic group dominated the leadership of the iron and steel industry according to Ingham?,scotch irish
What happened during the Great Railroad Strike of 1877 in Pittsburgh?,"pittsburgh workers protested and had massive demonstrations that erupted into widespread violence, known as the pittsburgh railway riots"
How many deaths occurred during the Homestead Strike of 1892?,10
What did Andrew Carnegie sell his mills for in 1901?,$ 250 million
"What era was Pittsburgh described as a ""hotbed of bootlegging""?",prohibition era
Who was the Prohibition Administrator who conducted raids in Pittsburgh?,john pennington
What environmental issue was seen as a sign of prosperity in the 1890s?,coal dust
What major natural disaster struck Pittsburgh in March 1936?,flood
What 42-story educational building was erected in Oakland?,cathedral of learning
What was the central cultural nucleus of Black Pittsburgh?,belmar gardens
Which two Negro League baseball teams competed in the Hill District?,pittsburgh crawfords and the homestead grays
What political party was Pittsburgh a stronghold of before the Great Depression?,republican
What percentage of Pittsburgh's steel production contributed to World War II efforts?,95 million tons
Who served as mayor of Pittsburgh from 1946 to 1959?,david lawrence
What urban revitalization project began in 1946?,renaissance
What neighborhood was completely destroyed in the late 1950s for a cultural center?,lower hill district
What happened to East Liberty during the Renaissance I Urban Renewal plans?,a blighted neighborhood
What organization resisted the demolition plans during urban renewal?,pittsburgh history and landmarks foundation
What happened to Pittsburgh's steel industry during the 1970s and 1980s?,
What corporate headquarters was bought out in 1985 in what was then the largest buyout in world history?,gulf oil merger
What mixed-use historic adaptive reuse development was created at the former terminal buildings of the Pittsburgh and Lake Erie Railroad?,
What replaced the steel industry as Pittsburgh's leading industry?,steel
What tech giants have established operations in Pittsburgh?,"apple, google, ibm watson, facebook, and intel"
What event will Pittsburgh host in 2026 according to the tourism site?,nfl draft
What distinction did Lonely Planet give Pittsburgh for 2025?,global best in travel
What is the name of the uptown gathering space for coffee mentioned in the tourism site?,
What unique feature of Pittsburgh's sports teams is mentioned in the previous text chunks?,
Which two Pittsburgh restaurants were nominated for James Beard Awards in 2024 according to the tourism site?,
What tax is imposed on patrons attending amusements in Pittsburgh?,
What is the current rate of the Pittsburgh Amusement Tax?,5 percent
What department is responsible for collecting the Amusement Tax in Pittsburgh?,operating budget department of finance
"What is the definition of ""amusement"" according to Pittsburgh tax regulations?","all manner and forms of diversion, sport, pastime, and entert ainment"
"What is a ""place of amusement"" as defined in the Pittsburgh tax regulations?",any place indoors or outdoors within the city
"What is the definition of a ""Producer"" according to Pittsburgh tax regulations?",
Are restaurants and bars always considered places of amusement?,
When is a restaurant or bar considered a place of amusement?,
"What is considered an ""established price"" for amusement tax purposes?",twenty - five ( 25 % ) percent
"How is the established price calculated in a roof garden, night club, or restaurant with entertainment?","when amusement is conducted in any roof garden, night club, cabaret, bar, brewery, restaurant or other place where the charge for admission, wholly or in part, is included in the price paid for refreshment, service or merchandise, the amount paid for admission to the amusement shall be deemed to be ten ( 10 % ) percent of the amount paid for refreshment, service and merchandise ; 2. d. tax on boxes or other seating – for persons having the permanent use or lease of boxes or seats in any place of amusement, the tax imposed shall be computed on the price or rental charged for boxes or seats in the place of 12 amusement, the tax to be paid by the holder or lessee. ( am. ord. 33 - 1994, eff. 1 - 1 - e. roof gardens, night clubs, cabarets, bars, breweries, 1. where any amusement ( entertainment ) is conducted at a place where food and drink are served and there is no fixed charge for admission, the amusement tax will be based on 10 % of the total amount paid for food and drink"
How is the established price calculated for amusements at social clubs or fraternal organizations?,fifty ( 50 % ) percent of the gross receipts
How is the established price calculated for amusements sponsored by Institutions of Purely Public Charity?,"where admission to any amusement sponsored by an institution of purely public charity is obtained, solely or partly by donation, contribution and other charge"
Are rental charges for sports equipment subject to the Amusement Tax?,not subject to amusement tax. 5
What types of amusements are exempt from the Amusement Tax?,"sports events, music concerts and movies"
"What is an ""Exempt Performing Arts Production""?","a performing arts event where the producer is an institution of purely public charity and the proceeds, n et of reasonable expense s, inure exclusively to the institu tions of purely public charity"
Are educational lectures subject to the Amusement Tax?,not subject to the tax
Are tasting events subject to the Amusement Tax?,the admission receipts from a tasting event are properly subject to the amusement tax
Are bowling alley fees subject to the Amusement Tax?,not subject to amusement tax
Are fitness center membership dues subject to the Amusement Tax?,"the term amusements shall not include membership dues, fees or assessments of charitable, religious, beneficial or nonprofit organizations paid by patrons"
"What is an ""Institution of Purely Public Charity""?",an organization that qualifies for tax exemption
"Who is considered a ""patron"" according to the tax regulations?","any person entering into a transaction to park or store a motor vehicle at a non - residential parking place for any period of time for consideration, excluding any transaction involving exempt valet parking services. taxpayer – a person, partnership, limited partnership, association, unincorporated or otherwise, corporation, institution, trust, governmental body, unit or agency or any other entity situated or doing business in the city, liable for tax under chapter 252 of the c ity code. the tax is based upon the entire consideration paid by the patron"
"What are ""Performing Arts"" as defined by the tax regulations?",
"Who is considered a ""Responsible Person"" regarding the Amusement Tax?",
What permit is required before conducting any form of amusement in Pittsburgh?,an amusement permit
Where must a Producer apply for an Amusement Tax Permit?,the license officer
What must be conspicuously displayed at places of amusement?,signs
How often must Producers of permanent amusements file tax reports?,promptly after each performance with the treasurer or his / her duly authorized agent
When are tax reports due for permanent amusements?,fifteenth day of the next succeeding month
How often must Producers of temporary amusements file tax reports?,promptly after each performance with the treasurer or his / her duly authorized agent
How is the Amusement Tax calculated when it's included in the total admission charge?,the formula for the amusement tax is : 1. 00 admission charge +. 05 tax rate 1. 05 admission charge + tax rate
What records must amusement Producers maintain?,section 403 – records to be kept by the producer producers who collect the amusement tax
What information must be printed on tickets for amusements?,"the producer shall cause to be printed clearly on the face of any ticket, receipt or any other token purchased by a patron for the purpose of admission to an amusement the following 1. the established price of admission ; 2. the amount of amusement tax due on line 1 ; and 3. the sum of lines 1 and 2. b. every producer of amusement that begins or intends to begin a place of amusement, shall file with the treasurer, before commencing the place of amusement a completed registration form prescribed by the treasurer and shall set forth therein its name, address, business location, the amusement, a record of tickets, leases, and contracts"
What signs must be posted at places of amusement?,b. signs
Are movie theaters considered Performing Arts for tax purposes?,not considered a performing art
Are home builders' shows and trade exhibitions subject to the Amusement Tax?,
How is the Amusement Tax calculated for a bar with a cover charge?,"the cover charge shall be imputed per the city code. d. tax on boxes or other seating – for persons having the permanent use or lease of boxes or seats in any place of amusement, the tax imposed shall be computed on the price or rental charged for boxes or seats in the place of 12 amusement"
How is the Amusement Tax calculated for a bar with entertainment but no cover charge?,how is it calculated? a. – the amusement tax is owed
What is the time limit for the Treasurer to assess unpaid taxes when a return has been filed?,three ( 3 ) years
What is the time limit for the Treasurer to assess unpaid taxes when no return has been filed?,
What is the penalty rate for late payment of the Amusement Tax?,
What is the interest rate charged for late payment of the Amusement Tax?,
What actions can the Treasurer take to enforce collection of unpaid taxes?,"obtaining additional information, auditing taxpayer records, entering into a settlement of the disputed amount of the tax, or obtaining liens on the taxpayer ’ s property, wage attachmen ts, levies, and seizures and sales of the taxpayer ’ s property in appropriate circumstances"
What records are Producers required to keep and for how long?,section 403 – records to be kept by the producer producers who collect the amusement tax
What violations related to the Amusement Tax can result in fines and penalties?,
Who is liable for the Amusement Tax on free admissions?,patron
Are admissions for children under twelve years of age exempt from the Amusement Tax?,shall not be required to pay the tax imposed by this chapter. 3
Are disabled veterans exempt from the Amusement Tax?,"shall not be required to pay the tax imposed by this chapter. however, the patron must participate in this health related activity to qualify for the exemption. the term amusements shall not include membership dues, fees or assessments of charitable, religious, beneficial or nonprofit organizations paid by patrons, such as sportsmen, recreational, golf or tennis clubs. local tax enabling act, 53 p. s. § 6924. 301. 1 ( f ). 5. the term amusement shall not include any activity that the city is prohibited from taxing by reason of the u s constitution, federal law, or laws of the commonwealth. should any producer claim that any amusement is exempt from the tax under this su bsection, the producer shall note the exemption on its filed return and provide a reference to the exempt performing arts production – a performing arts event where the producer is an institution of purely public charity and the proceeds, n et of reasonable expense s, inure exclusively to the institu tions of purely public charity. this exemption began in 2008. this exemption may expire, if the nonresident sports faci lity usage fee, imposed under title two, article x, chapter 271 of the code and the local tax enabling act, 53 p. s."
Are members of the armed services on active duty exempt from the Amusement Tax?,
How is the Amusement Tax calculated for season tickets?,
Is the information gained during tax investigations confidential?,"any information gained by the treasurer, or by any other official or agent of the city, as a result of any declarations, returns, investigations, hearings, or verifications required or authorized by the code shall be confidential"
What is considered a trust fund tax in Pittsburgh?,the amusement tax
Who may be assessed and held personally liable for unpaid Amusement Tax?,the treasurer
"What are the four criteria that define a ""Responsible Person"" for tax purposes in Pittsburgh?",every person or taxable institution subject to the tax imposed by ordinance shall forthwith register with the treasurer
What information must be included in a written petition for reassessment?,
How many days do taxpayers have to request a Treasurer's Hearing after receiving an assessment notice?,ninety ( 90 ) days
What happens if a taxpayer fails to request a Treasurer's Hearing in a timely manner?,waives the right to contest any element of the assessment
Where should completed petitions for reassessment be mailed?,
How long does the Treasurer have to issue a decision after receiving a complete petition?,60 days
How many days do taxpayers have to appeal a Treasurer's decision to the Court of Common Pleas?,thirty ( 30 ) days
Does an appeal suspend the accrual of penalty and interest on unpaid taxes?,no
What is the time limit for requesting a tax refund after payment?,three ( 3 ) years of the due date for fi ling the return or one ( 1 ) year
What is the time limit for requesting a refund for amounts paid due to a notice of underpayment?,one ( 1 ) year
What must a patron do before requesting a refund from the Department of Finance?,file a written request for refund
What information must a patron include in a written refund request to the Department of Finance?,"the name and address of the patron, the name and address of the producer, the date or dates of the amusement"
Under what circumstances can the Treasurer sue for recovery of an erroneous refund?,such suit is begun two ( 2 ) years after making such refund
What is the time limit for the Treasurer to sue for recovery of an erroneous refund?,two ( 2 ) years
Can the Treasurer approve installment payment plans for tax deficiencies?,the treasurer will approve installment payment plans only if suc h a plan is in the best interests of the city
What does the Payroll Tax regulate in Pittsburgh?,
"What is the definition of ""Business"" according to Pittsburgh's Payroll Tax regulations?",the payroll amount apportioned to the city
"When is a person deemed to be conducting ""Business within the City"" of Pittsburgh?","if one engages, hires, employs or contracts with one or more individuals"
"What is the definition of ""Compensation"" according to the Payroll Tax regulations?",earned income
"Who is considered an ""Employee"" under Pittsburgh's Payroll Tax regulations?",any person who is classified as an em ployer
"Who is considered an ""Employer"" under Pittsburgh's Payroll Tax regulations?",any person who is classified as an em ployer
"What is an ""Exempt Employer"" under Pittsburgh's Payroll Tax regulations?",
"What are ""Guaranteed Payments"" in the context of the Payroll Tax?",
"What is the definition of ""Net Distribution"" for Payroll Tax purposes?",taxable distributions are limited by the sum of draws or net income for that partner or self - employed person
"What are ""Taxable Distributions"" limited to for Payroll Tax purposes?",the sum of draws or net income for that partner or self - employed person
"Who is considered a ""Partner"" under the Payroll Tax regulations?",a partner or self - employed person is not an employee
"What is the definition of ""Partnership"" according to Pittsburgh's Payroll Tax regulations?",
"What is considered ""Passive Income"" under Pittsburgh's Payroll Tax regulations?",
"What is the definition of ""Payroll Expense"" according to the Payroll Tax regulations?",the total compensation paid
"Who is considered ""Self-Employed"" under the Payroll Tax regulations?","any individual who is classified as an employee, because of the control exercised by the employer, is not self - employed as to any compensation associated with that particular business. self - employed – an individual who earns compensation from one or more separate business es carried on within the city, other than as an employee or as a partner"
What is the current rate of Pittsburgh's Payroll Tax?,0. 55 percent
How often must the Payroll Tax be paid?,
How is Payroll Tax apportioned for employees who work partly within and partly outside Pittsburgh?,may use a representative test period or conduct a survey based on factual data
How is Payroll Tax apportioned for Partners and Self-Employed individuals?,cumulative annual taxable distributions associated with each separate business carried on w ithin the ci ty
When is the first quarterly Payroll Tax return due and what period does it cover?,may 31 of the current year
When is the second quarterly Payroll Tax return due and what period does it cover?,august 31 of the current year
When is the third quarterly Payroll Tax return due and what period does it cover?,november 30 of the current year
When is the fourth quarterly Payroll Tax return due and what period does it cover?,february 28 of the succeeding year
What is the deadline for filing a Payroll Tax return for businesses that discontinue operations?,
What is the interest rate charged on unpaid Payroll Tax?,
What is the penalty percentage for unpaid Payroll Tax?,"one ( 1 % ) percent per month for each month or fraction of a whole month during the period in which the tax remains unpaid shall be added to the tax. local tax enabling act, 53 p. s. § 6924. 303 ( h ). section 204. – penalties and interest. if the tax is not paid when due, interest at the rate of one percent ( 1 % ) per month shall be added to the amount of the tax. in addition, a penalty of one - half of one percent ( 0. 5 %"
How long must taxpayers keep records related to the Payroll Tax?,a period of not less than three ( 3 ) years
What is the time limitation for deficiency assessments when a return has been filed?,three ( 3 ) years
What is the time limitation for tax collection suits when a return has been filed but no tax paid?,three ( 3 ) years
What is the time limitation for tax collection suits when there is an understatement of tax liability of 25% or more?,twenty - five percent
Is there a time limitation for tax collection suits when no return was filed?,there shall be no limit to file suit for the collection of taxes
Is there a time limitation for tax collection suits when a fraudulent return was filed?,there is no limitation. 3
How many calendar days does a taxpayer have to respond to audit notices?,at least thirty
What defense is not valid for the imposition of tax penalties according to Pittsburgh tax regulations?,good faith
When does penalty and interest become part of the tax in Pittsburgh?,each month or a fraction of a whole month on the amount of tax and interest of one ( 1 % ) percent per month for each month or fraction of a whole month
Can the Treasurer enter into an installment payment plan with a taxpayer for tax deficiencies?,if the taxpayer enters into a written agreement with the treasurer
What document can be requested in writing from the Treasurer that explains taxpayer rights?,§ 802 taxpayer disclosure statement
How many days does a taxpayer have to appeal a Treasurer's decision to the Court of Common Pleas?,thirty
What is the Institution and Service Privilege Tax in Pittsburgh?,"$ 460, 644"
What is the rate of the Institution and Service Privilege Tax in Pittsburgh?,"$ 460, 644"
Is there a different tax rate for restaurants under the Institution and Service Privilege Tax?,"institution and service privilege tax the institution and service privilege tax is budgeted at $ 460, 644 in 2024"
What authority allowed Pittsburgh to enact the Institution and Service Privilege Tax?,the institutio n and service privile ge tax
"What types of entities are considered ""Exempt Institutions"" under the Institution and Service Privilege Tax?",corporations organized under an act of congress which are instrumentalities of the united states
Are insurance companies subject to the Institution and Service Privilege Tax?,any insurance company regulated by the pennsylvania insurance ( 5 ) any utility regulated by the pennsylvania utility commission
Are utilities regulated by the Pennsylvania Utility Commission exempt from the Institution and Service Privilege Tax?,"any insurance company regulated by the pennsylvania insurance ( 5 ) any utility regulated by the pennsylvania utility commission ; ( 6 ) any voluntary employee ’ s beneficiary association described in 26 u. s. c. such service, when provide d by a taxable institution, is an “ institutional service. ” ( f ) "" taxable institution "" - any person, organization, foundation, corporation or unincorporated associat ion operating under a non - profit charter or recognized as a non - profit entity by the commonwealth of pennsylvania, including, but not limited to, hospitals, nursing homes, colleges, universities, schools other than elementary and secondary schools, cemeteries, veterans organizations, recreational centers, fund - raising organizations and all other organizations which provide service to the public, listed under section 101 ( d ) of these regulations"
"What is included in ""Gross Receipts"" under the Institution and Service Privilege Tax?",payments for service rendered to affiliates or subsidiaries
"Are membership fees included in ""Gross Receipts"" under the Institution and Service Privilege Tax?",
"Are donations to religious organizations included in ""Gross Receipts""?",excluded from “ gross receipts
"What types of organizations are considered ""Persons"" under the Institution and Service Privilege Tax?",
Are natural persons subject to the Institution and Service Privilege Tax?,"corporations organized under an act of congress which are instrumentalities of the united states, including any entity described in 26 u. s. c. § ( 2 ) the united states, any s tate or political subdivision thereof, any authority of the state or local government, any elementary or secondary school with in the city ( public or private ), and any federal, state, or municipal pension plan ; ( 3 ) any institution of purely public charity, under 10 p. s. § 371, that provides the evidence required by 10 p. s. § 376 ( a ) ; ( 4 ) any insurance company regulated by the pennsylvania insurance ( 5 ) any utility regulated by the pennsylvania utility commission ; ( 6 ) any voluntary employee ’ s beneficiary association described in 26 u. s. c. ( a ) whether or not a person carries on a taxable activity within the meaning of the institution and service privilege tax is essentially a question of fact"
"What is considered a ""Service"" under the Institution and Service Privilege Tax?",institutional service
"What entities are considered ""Taxable Institutions"" under these regulations?","corporations organized under an act of congress which are instrumentalities of the united states, including any entity described in 26 u. s. c. § ( 2 ) the united states, any s tate or political subdivision thereof, any authority of the state or local government, any elementary or secondary school with in the city ( public or private ), and any federal, state, or municipal pension plan"
When is the Institution and Service Privilege Tax return due?,first month
What is the tax year for the Institution and Service Privilege Tax?,2024
Who must sign the tax return if the taxpayer is a corporation?,the officer
How is the tax calculated for taxpayers who were not in service during the whole preceding calendar year?,by the amount of service transacted by the taxpayer or institution during the entire receding calendar year
How is the tax calculated for taxpayers who commence service during the current tax year?,a fraction whos e numerator
"How is the tax calculated for taxpayers whose service is temporary, seasonal, or itinerant?",the tax is measured by the amount of service transacted by the taxpayer or institution during the entire receding calendar year
When must temporary or seasonal service providers file their tax returns?,seven ( 7 ) days
What information must be attached to the tax return to assist in the review of Taxable Gross Receipts?,a duplicate of any form 990 - t
Are receipts from government bodies excluded from the tax base?,"receipts from sales made or services rendered to all government bodies, including authorities, and to religious, charitable and educational corporations and associations shall not be excluded from the tax base"
How are receipts from services associated with interstate commerce apportioned to Pittsburgh?,by multiplying total receipts earned everywhere times the city apportionment percentage
What is the City Apportionment percentage used for receipts associated with interstate commerce?,multiplying total receipts earned everywhere times the city apportionment percentage
What are the three factors used to calculate the City Apportionment percentage?,"payroll percentage factor, property percentage factor, and sales percentage factor"
How is the Payroll Percentage factor calculated?,payroll reported by the taxpayer subject to city local earned income tax divided by total payroll reported on federal form 940
How is the Property Percentage factor calculated?,"the property percentage factor shall be the sum of tangible property located in the cit y divided by the sum of tangible property located everywhere in the united states, determined as of december 31"
How is the Sales Percentage factor calculated?,gross receipts from services provided in the city or offered from a city location divided by gross receipts everywhere
When is a taxpayer considered to be engaged in interstate commerce?,"if it is subject to tax in another jurisdiction, outside the commonwealth, on its net income or on its gross receipts"
What is the time limitation for filing suit to recover tax due when a return has been filed but no tax paid?,
What is the time limitation for filing suit to recover tax in the case of a deficiency assessment?,three ( 3 ) years
Is there a time limitation for filing suit to recover tax when no return was filed?,there will be no limit to file suit for the collection of taxes
Is there a time limitation for filing suit to recover tax when the return is fraudulent?,there is no limitation
What is the time limitation for filing suit to recover tax when there is an understatement of tax liability of 25% or more?,six ( 6 ) years
What is the penalty rate for non-payment of the Institution and Service Privilege Tax?,one - half of one percent ( 0. 5 %
What is the interest rate for non-payment of the Institution and Service Privilege Tax?,
What is the fine for willfully making a false statement on a tax return?,not more than five hundred dollars
What is the fine for willfully failing to appear before the Treasurer with books and records?,five hundred dollars ( $ 500 ) or to a term of imprisonment of not more than six 2
What is the fine for willfully failing to file a required tax return?,"what is the fine for willfully failing to file a required tax return? 5. fail to make any payment when it is due. b. pursuant to the local tax enabling act, 53 p. s. 6924. 303 ( i ), in addition to any other penalties or enforcement proceedings provided for by ordinance for the collection and enforcement of taxes : 1. any employer who willfully makes any false or untrue statement on the employer ’ s return shall be guilty of a misdemeanor of the second degree and shall, upon conviction, be sentenced to pay a fine of not more than two thousand dollars ( $ 2, 000 ) or to a term of imprisonment of not more than two years, or both ; 2. any employer who willfully fails or refuses to file a return required by this c hapter shall be guilty of a misdemeanor of the third degree and shall, upon conviction, be sentenced to pay a fine of not more than one thousand dollars ( $ 1, 000 ) or to a term - 15 - of imprisonment of not more than one year, or both ; and 3. ( c ) whoever willfully fails or refuses to file a return required by the instit ution and service privilege tax ordinance, shall, upon summary conviction thereof, be sentenced to pay a fine of not more than five hundred dollars"
Are tax remedies provided by the City of Pittsburgh mutually exclusive?,the tax is not imposed on exempt institutions
What happens when a taxpayer fails to request a Treasurer's Hearing within the specified time period?,waives the right to contest any element of the assessment
What is the time limit for requesting a refund after payment of the tax?,three ( 3 ) years of the due date for fi ling the return or one ( 1 ) year
What is the time limit for requesting a refund for amounts paid as a result of a notice of underpayment?,one ( 1 ) year
How long does the Treasurer have to sue for recovery of an erroneous refund induced by fraud?,two ( 2 ) years
