question,output,correct_answer
How many consecutive losing seasons did the Pittsburgh Pirates set as an MLB record?,20,The Pittsburgh Pirates set an MLB record with 20 consecutive losing seasons from 1993 until 2012.
Who has owned the Pittsburgh Steelers since the team's founding in 1933?,rooney family,The Rooney family has owned the Pittsburgh Steelers since the team's founding in 1933.
How many Super Bowls have the Pittsburgh Steelers won?,six,"The Pittsburgh Steelers have won six Super Bowls, a league record."
What was the original name of the arena where the Penguins played before PPG Paints Arena?,consol energy center,"The original name of the arena where the Penguins played before PPG Paints Arena was the Civic Arena, or locally known as ""The Igloo."""
How many Stanley Cup championships have the Pittsburgh Penguins won?,5,The Pittsburgh Penguins have won five Stanley Cup championships.
Which famous hockey player later became an owner of the Pittsburgh Penguins?,mario lemieux,"Mario Lemieux, a Hall of Famer and back-to-back playoff MVP, later became an owner of the Pittsburgh Penguins."
Which Pittsburgh basketball team won the first American Basketball Association championship in 1968?,pittsburgh pipers,The Pittsburgh Pipers won the first American Basketball Association championship in 1968.
What is the oldest U.S. golf course in continuous use located near Pittsburgh?,foxburg country club,"Foxburg Country Club, dating from 1887, is the oldest U.S. golf course in continuous use located near Pittsburgh."
Which suburban golf course has hosted the U.S. Open nine times?,oakmont country club,Oakmont Country Club has hosted the U.S. Open nine times.
What major wrestling promotion has been based in Pittsburgh since 2000?,keystone state wrestling alliance,The Keystone State Wrestling Alliance (KSWA) has been based in Pittsburgh since 2000.
"Who became the mayor of Pittsburgh at age 26, making him the youngest mayor of any major American city?",luke ravenstahl,"Luke Ravenstahl became the mayor of Pittsburgh at age 26, making him the youngest mayor of any major American city."
Who was elected as Pittsburgh's first African-American mayor in 2021?,ed gainey,Ed Gainey was elected as Pittsburgh's first African-American mayor in 2021.
What political party has dominated Pittsburgh's mayoral elections since 1933?,democrats,The Democratic Party has dominated Pittsburgh's mayoral elections since 1933.
What rank did Pittsburgh achieve in 2013 for being one of America's safest big cities?,3rd,"Pittsburgh ranked as the 3rd ""most secure"" big city according to Farmers Insurance in 2013."
What is the largest law enforcement agency in Pittsburgh?,pittsburgh bureau of police,The Pittsburgh Bureau of Police is the largest law enforcement agency in the area with close to 850 sworn officers.
What educational institution is considered the most well-known in Pittsburgh?,carnegie mellon university,Carnegie Mellon University and the University of Pittsburgh are considered the most well-known educational institutions in Pittsburgh.
How many Fortune 500 companies call the Pittsburgh area home?,ten,Ten Fortune 500 companies call the Pittsburgh area home.
What percentage of Pittsburgh's population identified as Christians according to a 2014 Pew Research Center study?,78 %,"According to a 2014 Pew Research Center study, 78% of Pittsburgh's population identified as Christians."
What is the Jewish population of Greater Pittsburgh according to a 2017 study?,"49, 200","A 2017 study by the Cohen Center for Modern Jewish Studies estimated the Jewish population of Greater Pittsburgh was 49,200."
What was the first commercially licensed radio station in the world that began airing in Pittsburgh?,kdka 1020 am,KDKA 1020 AM was the first commercially licensed radio station in the world that began airing in Pittsburgh.
What year did KDKA begin airing as the world's first commercially licensed radio station?,1920,"KDKA began airing as the world's first commercially licensed radio station on November 2, 1920."
What was the first community-sponsored television station in the United States established in Pittsburgh?,wqed 13,"WQED 13 was the first community-sponsored television station in the United States, established on April 1, 1954."
What famous children's television show was produced by WQED?,mister rogers ’ neighborhood,Mister Rogers' Neighborhood was a famous children's television show produced by WQED.
"What 2011 Batman film used Pittsburgh as ""Gotham City"" during filming?",the dark knight rises,"The Dark Knight Rises used Pittsburgh as ""Gotham City"" during filming in 2011."
Which famous virologist developed one of the first successful polio vaccines while at the University of Pittsburgh?,jonas salk,Jonas Salk developed one of the first successful polio vaccines while at the University of Pittsburgh.
"How many bridges does Pittsburgh have, giving it the nickname ""City of Bridges""?",446,"Pittsburgh has 446 bridges, giving it the nickname ""City of Bridges."""
What bridge was the world's first lenticular truss bridge in Pittsburgh?,smithfield street bridge,The Smithfield Street Bridge was the world's first lenticular truss bridge in Pittsburgh.
"What is the name of Pittsburgh's light rail system that locals refer to as the ""T""?",mount washington,"Pittsburgh's light rail system that locals refer to as the ""T"" is officially called Pittsburgh Regional Transit's light rail."
What is the ranking of the Port of Pittsburgh among U.S. ports?,ninth - largest,The Port of Pittsburgh ranks as the 20th-largest port in the United States.
What was the major industry that collapsed in Pittsburgh after 1970 due to foreign competition?,steel,The steel industry collapsed in Pittsburgh after 1970 due to foreign competition.
What was the name of the clean air and civic revitalization project launched after World War II?,"the "" renaissance","The ""Renaissance"" was the name of the clean air and civic revitalization project launched after World War II."
What archaeological site west of Pittsburgh provides evidence of early human habitation in the region?,meadowcroft rockshelter and historic village,Meadowcroft Rockshelter is the archaeological site west of Pittsburgh that provides evidence of early human habitation in the region.
What Native American chief had a village called Sawcunk at the mouth of the Beaver River?,shingas,Shingas was the Native American chief who had a village called Sawcunk at the mouth of the Beaver River.
Which of Pittsburgh's three rivers was formed by the meeting of the other two?,,The Ohio River is formed by the meeting of the Allegheny and Monongahela rivers.
Who was the Marquis that sent a French expedition to the area in 1753?,marquis duquesne,"Marquis Duquesne, the Governor of New France, sent the expedition in 1753."
What did George Washington come to do in the Ohio Valley in 1753?,warn the french to withdraw,George Washington came to warn the French to withdraw from the Ohio Valley in 1753.
What was the name of the first European habitation at the site of present-day Pittsburgh?,,Fort Prince George was the name of the first European habitation at the site of present-day Pittsburgh.
Who ordered the construction of Fort Prince George in 1754?,the british,Captain William Trent ordered the construction of Fort Prince George in 1754.
"What battle did Washington fight on May 28, 1754?",battle of jumonville glen,"Washington fought the Battle of Jumonville Glen on May 28, 1754."
What Native American chief executed the French commanding officer after Washington's battle?,seneca chief tanaghrisson,"Seneca chief Tanaghrisson executed the French commanding officer, Ensign Joseph Coulon de Jumonville."
What was the name of the road built by Braddock's expedition across the Allegheny Mountains?,us40,"Braddock's Road was built across the Allegheny Mountains, which later became part of the National Road (US40)."
What was the outcome of the Battle of the Monongahela in 1755?,,"The French inflicted heavy losses on the British in the Battle of the Monongahela, and Braddock was mortally wounded."
Who ordered the construction of Fort Pitt after Fort Duquesne was abandoned?,forbes,"William Pitt the Elder, British Secretary of State, ordered the construction of Fort Pitt."
What Native American uprising occurred in 1763 that targeted Fort Pitt?,pontiac ' s war,"Pontiac's War occurred in 1763, with Native American tribes targeting Fort Pitt among other British forts."
Who signed the Fort Stanwix Treaty of 1768?,the iroquois,"The Iroquois signed the Fort Stanwix Treaty of 1768, ceding lands south of the Ohio to the British Crown."
What was one of Pittsburgh's earliest industries after the Revolution?,boat building,Boat building was one of Pittsburgh's earliest industries after the Revolution.
When was the Pittsburgh Academy chartered?,"february 28, 1787","The Pittsburgh Academy was chartered on February 28, 1787, later developing into the University of Pittsburgh."
What event in 1794 was sparked by federal taxes on whiskey?,whiskey rebellion,The Whiskey Rebellion in 1794 was sparked by federal taxes on whiskey.
What was the first steamboat in Pittsburgh built in?,,The first steamboat in Pittsburgh was built in 1811.
What war stimulated American manufacturing by cutting off British goods?,the war of 1812,The War of 1812 stimulated American manufacturing by cutting off British goods.
When was Pittsburgh incorporated as a city?,"april 22, 1794","Pittsburgh was incorporated as a city on March 18, 1816."
What was the first river bridge in the region called?,smithfield street bridge,The Smithfield Street Bridge was the first river bridge in the region.
"What disaster struck Pittsburgh on April 10, 1845?",a great fire,"A great fire struck Pittsburgh on April 10, 1845, destroying over a thousand buildings and causing $9 million in damages."
What process for steel production was introduced at the Edgar Thomson Works in 1875?,bessemer,The Bessemer process for steel production was introduced at the Edgar Thomson Works in 1875.
Who founded the Westinghouse Air Brake Company in 1869?,george westinghouse,George Westinghouse founded the Westinghouse Air Brake Company in 1869.
What industry developed rapidly after 1830 and became dominant by the 1860s?,iron and steel,The iron and steel industry developed rapidly after 1830 and became dominant by the 1860s.
What ethnic group dominated the leadership of the iron and steel industry according to Ingham?,scotch irish,The Scotch-Irish dominated the leadership of the iron and steel industry according to Ingham.
What happened during the Great Railroad Strike of 1877 in Pittsburgh?,"pittsburgh workers protested and had massive demonstrations that erupted into widespread violence, known as the pittsburgh railway riots","During the Great Railroad Strike of 1877, Pittsburgh workers had massive demonstrations that erupted into violence, resulting in 40 deaths and the destruction of over 100 train engines and 1000 railcars."
How many deaths occurred during the Homestead Strike of 1892?,10,"Ten deaths (3 detectives, 7 workers) occurred during the Homestead Strike of 1892."
What did Andrew Carnegie sell his mills for in 1901?,$ 250 million,Andrew Carnegie sold his mills to J.P. Morgan for $250 million in 1901.
"What era was Pittsburgh described as a ""hotbed of bootlegging""?",prohibition era,"Pittsburgh was described as a ""hotbed of bootlegging"" during the Prohibition era, 1920 to 1933."
Who was the Prohibition Administrator who conducted raids in Pittsburgh?,john pennington,John Pennington was the Prohibition Administrator who conducted raids in Pittsburgh.
What environmental issue was seen as a sign of prosperity in the 1890s?,coal dust,Smoke pollution was seen as a sign of prosperity in the 1890s before being recognized as a problem in the Progressive Era.
What major natural disaster struck Pittsburgh in March 1936?,flood,"A devastating flood struck Pittsburgh in March 1936, with flood levels peaking at 46 feet, killing 69 victims and causing $3 billion in damages."
What 42-story educational building was erected in Oakland?,cathedral of learning,The 42-story Cathedral of Learning was erected in Oakland.
What was the central cultural nucleus of Black Pittsburgh?,belmar gardens,Wylie Avenue in the Hill District was the cultural nucleus of Black Pittsburgh.
Which two Negro League baseball teams competed in the Hill District?,pittsburgh crawfords and the homestead grays,The Pittsburgh Crawfords and the Homestead Grays competed in the Hill District.
What political party was Pittsburgh a stronghold of before the Great Depression?,republican,Pittsburgh was a Republican stronghold before the Great Depression.
What percentage of Pittsburgh's steel production contributed to World War II efforts?,95 million tons,"Pittsburgh's mills contributed 95 million tons of steel, or 95% of the steel production, to the World War II effort."
Who served as mayor of Pittsburgh from 1946 to 1959?,david lawrence,David Lawrence served as mayor of Pittsburgh from 1946 to 1959.
What urban revitalization project began in 1946?,renaissance,"""Renaissance I"" urban revitalization project began in 1946."
What neighborhood was completely destroyed in the late 1950s for a cultural center?,lower hill district,"The lower Hill District, predominantly inhabited by poor Blacks, was completely destroyed in the late 1950s for a cultural center."
What happened to East Liberty during the Renaissance I Urban Renewal plans?,a blighted neighborhood,"East Liberty was demolished and replaced with garden apartments, public housing, and a convoluted road system that led to its decline during Renaissance I Urban Renewal plans."
What organization resisted the demolition plans during urban renewal?,pittsburgh history and landmarks foundation,The Pittsburgh History and Landmarks Foundation resisted the demolition plans during urban renewal.
What happened to Pittsburgh's steel industry during the 1970s and 1980s?,,Pittsburgh's steel industry began to implode during the 1970s and 1980s due to foreign competition and other economic factors.
What corporate headquarters was bought out in 1985 in what was then the largest buyout in world history?,gulf oil merger,Gulf Oil's corporate headquarters was bought out in 1985 in what was then the largest buyout in world history.
What mixed-use historic adaptive reuse development was created at the former terminal buildings of the Pittsburgh and Lake Erie Railroad?,,Station Square was created as a mixed-use historic adaptive reuse development at the former terminal buildings of the Pittsburgh and Lake Erie Railroad.
What replaced the steel industry as Pittsburgh's leading industry?,steel,Medicine has replaced steel as Pittsburgh's leading industry.
What tech giants have established operations in Pittsburgh?,"apple, google, ibm watson, facebook, and intel","Tech giants such as Apple, Google, IBM Watson, Facebook, and Intel have established operations in Pittsburgh."
What event will Pittsburgh host in 2026 according to the tourism site?,nfl draft,Pittsburgh will host the NFL Draft in 2026 according to the tourism site.
What distinction did Lonely Planet give Pittsburgh for 2025?,global best in travel,"Lonely Planet named Pittsburgh to its Top 10 Cities list for 2025, as the only U.S. city selected."
What is the name of the uptown gathering space for coffee mentioned in the tourism site?,,Trace Echo is the name of the uptown gathering space for coffee mentioned in the tourism site.
What unique feature of Pittsburgh's sports teams is mentioned in the previous text chunks?,,"Pittsburgh's sports teams uniquely all share the same team colors (black and gold), a practice that doesn't occur in other U.S. cities."
Which two Pittsburgh restaurants were nominated for James Beard Awards in 2024 according to the tourism site?,,Apteka and Pusadee's Garden were nominated for James Beard Awards in 2024 according to the tourism site.
What tax is imposed on patrons attending amusements in Pittsburgh?,,The Amusement Tax is imposed upon patrons for the privilege of attending or engaging in any amusement in Pittsburgh.
What is the current rate of the Pittsburgh Amusement Tax?,5 percent,The current rate of the Pittsburgh Amusement Tax is five (5%) percent of the established price.
What department is responsible for collecting the Amusement Tax in Pittsburgh?,operating budget department of finance,The Treasurer (Director of Finance or the Department of Finance) is responsible for collecting the Amusement Tax.
"What is the definition of ""amusement"" according to Pittsburgh tax regulations?","all manner and forms of diversion, sport, pastime, and entert ainment","""Amusement"" is defined as all manner and forms of diversion, sport, pastime, and entertainment, including concerts, shows, theaters, exhibitions, movies, fairs, athletic contests, and all other methods of obtaining admission charges from the public."
"What is a ""place of amusement"" as defined in the Pittsburgh tax regulations?",any place indoors or outdoors within the city,"A ""place of amusement"" is any place indoors or outdoors within the City where the general public may, upon payment of an established price, attend or engage in any amusement."
"What is the definition of a ""Producer"" according to Pittsburgh tax regulations?",,"A ""Producer"" is any person conducting any place of amusement where the general public may, upon payment of an established price, attend or engage in any amusement."
Are restaurants and bars always considered places of amusement?,,"No, restaurants and bars are not always considered places of amusement; they are only considered places of amusement if they offer entertainment."
When is a restaurant or bar considered a place of amusement?,,"A restaurant or bar is considered a place of amusement if it offers entertainment such as music, dance, performing arts, sing-alongs, comedy routines, or restricted sporting events not available on broadcast TV."
"What is considered an ""established price"" for amusement tax purposes?",twenty - five ( 25 % ) percent,"""Established price"" is the regular monetary charge of any character, including donations and contributions, fixed and exacted by Producers for the privilege of attending or engaging in any amusement."
"How is the established price calculated in a roof garden, night club, or restaurant with entertainment?","when amusement is conducted in any roof garden, night club, cabaret, bar, brewery, restaurant or other place where the charge for admission, wholly or in part, is included in the price paid for refreshment, service or merchandise, the amount paid for admission to the amusement shall be deemed to be ten ( 10 % ) percent of the amount paid for refreshment, service and merchandise ; 2. d. tax on boxes or other seating – for persons having the permanent use or lease of boxes or seats in any place of amusement, the tax imposed shall be computed on the price or rental charged for boxes or seats in the place of 12 amusement, the tax to be paid by the holder or lessee. ( am. ord. 33 - 1994, eff. 1 - 1 - e. roof gardens, night clubs, cabarets, bars, breweries, 1. where any amusement ( entertainment ) is conducted at a place where food and drink are served and there is no fixed charge for admission, the amusement tax will be based on 10 % of the total amount paid for food and drink","In roof gardens, night clubs, or restaurants with entertainment, the established price is deemed to be ten (10%) percent of the amount paid for refreshment, service, and merchandise."
How is the established price calculated for amusements at social clubs or fraternal organizations?,fifty ( 50 % ) percent of the gross receipts,"For social clubs or fraternal organizations that furnish entertainment without a separate charge, the established price is fifty (50%) percent of the gross receipts."
How is the established price calculated for amusements sponsored by Institutions of Purely Public Charity?,"where admission to any amusement sponsored by an institution of purely public charity is obtained, solely or partly by donation, contribution and other charge","For amusements sponsored by Institutions of Purely Public Charity where admission is obtained by donation or contribution, the established price is twenty-five (25%) percent of the total donation or contribution."
Are rental charges for sports equipment subject to the Amusement Tax?,not subject to amusement tax. 5,"No, separately stated charges for the rental of tangible personal property, where such charges reflect market pricing, are not part of the Established Price and are not subject to Amusement Tax."
What types of amusements are exempt from the Amusement Tax?,"sports events, music concerts and movies","Exempt amusements include private affairs sponsored by nonprofit organizations for members and guests, Exempt Performing Arts Productions, educational lectures without entertainment, bowling alley fees, fitness center memberships, and nonprofit sportsmen, recreational, golf or tennis club dues."
"What is an ""Exempt Performing Arts Production""?","a performing arts event where the producer is an institution of purely public charity and the proceeds, n et of reasonable expense s, inure exclusively to the institu tions of purely public charity","An ""Exempt Performing Arts Production"" is a Performing Arts event where the Producer is an Institution of Purely Public Charity and the proceeds, net of reasonable expenses, inure exclusively to the Institution of Purely Public Charity."
Are educational lectures subject to the Amusement Tax?,not subject to the tax,"Educational lectures are not subject to tax when the primary purpose is to provide scientific, historical, or educational material to the patron with no material entertainment or recreation provided."
Are tasting events subject to the Amusement Tax?,the admission receipts from a tasting event are properly subject to the amusement tax,"Tasting events are subject to the Amusement Tax if they primarily showcase commercial products, even without entertainment, unless the Producer collects sales or drink taxes from the patron based on the admission charge."
Are bowling alley fees subject to the Amusement Tax?,not subject to amusement tax,"No, fees paid for the privilege of admission to a bowling alley to engage in games of bowling are not subject to the Amusement Tax."
Are fitness center membership dues subject to the Amusement Tax?,"the term amusements shall not include membership dues, fees or assessments of charitable, religious, beneficial or nonprofit organizations paid by patrons","No, membership dues, fees, or assessments paid to engage in activities predominantly focused on exercise, fitness, health maintenance, or weight control are not subject to the Amusement Tax."
"What is an ""Institution of Purely Public Charity""?",an organization that qualifies for tax exemption,"An ""Institution of Purely Public Charity"" is an organization that qualifies for tax exemption pursuant to the ""Institutions of Purely Public Charity Act"" and generally shows that it has a Pennsylvania sales tax exemption."
"Who is considered a ""patron"" according to the tax regulations?","any person entering into a transaction to park or store a motor vehicle at a non - residential parking place for any period of time for consideration, excluding any transaction involving exempt valet parking services. taxpayer – a person, partnership, limited partnership, association, unincorporated or otherwise, corporation, institution, trust, governmental body, unit or agency or any other entity situated or doing business in the city, liable for tax under chapter 252 of the c ity code. the tax is based upon the entire consideration paid by the patron","A ""patron"" is anyone participating in the privilege of engaging in an amusement."
"What are ""Performing Arts"" as defined by the tax regulations?",,"""Performing Arts"" are defined as artistic performances of live concerts, dance, ballet, opera, traditional forms of drama, and dramatic recitation of recognized works of literary art associated with traditional and contemporary American Theater."
"Who is considered a ""Responsible Person"" regarding the Amusement Tax?",,"A ""Responsible Person"" is any natural person with check signing authority, control over financial accounts, job duties including tax collection/remittance, power to make payment decisions, and who willfully fails to remit the proper tax."
What permit is required before conducting any form of amusement in Pittsburgh?,an amusement permit,An Amusement Tax Permit is required before conducting any form of amusement in Pittsburgh.
Where must a Producer apply for an Amusement Tax Permit?,the license officer,A Producer must apply for an Amusement Tax Permit at the Bureau of Building Inspection - City Licensing and Permits Office.
What must be conspicuously displayed at places of amusement?,signs,Amusement permits must be conspicuously displayed at the places for which they are issued.
How often must Producers of permanent amusements file tax reports?,promptly after each performance with the treasurer or his / her duly authorized agent,Producers of permanent amusements must file tax reports monthly.
When are tax reports due for permanent amusements?,fifteenth day of the next succeeding month,Tax reports for permanent amusements are due on or before the fifteenth day of the month following the reporting month.
How often must Producers of temporary amusements file tax reports?,promptly after each performance with the treasurer or his / her duly authorized agent,Producers of temporary amusements must file reports promptly after each performance.
How is the Amusement Tax calculated when it's included in the total admission charge?,the formula for the amusement tax is : 1. 00 admission charge +. 05 tax rate 1. 05 admission charge + tax rate,"When the Amusement Tax is included in the total admission charge, it is calculated using the formula: Tax = 0.04762 x Total Admission Charge (where Total Admission Charge includes the tax)."
What records must amusement Producers maintain?,section 403 – records to be kept by the producer producers who collect the amusement tax,"Producers must maintain complete and accurate records of all transactions, the total amount of consideration received, and the total amount of tax collected, including monthly summaries of ticket sales and numbers."
What information must be printed on tickets for amusements?,"the producer shall cause to be printed clearly on the face of any ticket, receipt or any other token purchased by a patron for the purpose of admission to an amusement the following 1. the established price of admission ; 2. the amount of amusement tax due on line 1 ; and 3. the sum of lines 1 and 2. b. every producer of amusement that begins or intends to begin a place of amusement, shall file with the treasurer, before commencing the place of amusement a completed registration form prescribed by the treasurer and shall set forth therein its name, address, business location, the amusement, a record of tickets, leases, and contracts","Tickets must clearly print the established price of admission, the amount of amusement tax due, and the sum of these two amounts."
What signs must be posted at places of amusement?,b. signs,"Places of amusement must post signs at the entrance and near the box office stating the established price of admission, the amount of amusement tax due, and the sum total of the established price and tax."
